url,status,validation type
famous-smoke.com,TRUE,detected Google Tag but no FDC
keio-bus.com,TRUE,detected Google Tag but no FDC
cityhive.net,TRUE,detected Google Tag but no FDC
songkick.com,TRUE,detected Google Tag but no FDC
ct.gov,TRUE,detected Google Tag but no FDC
gploft.com,TRUE,detected Google Tag but no FDC
pushpay.com,TRUE,detected Google Tag but no FDC
jetinsight.com,TRUE,detected Google Tag but no FDC
spektrum.de,TRUE,detected Google Tag but no FDC
haf.gr,TRUE,detected Google Tag but no FDC
hizliresim.com,TRUE,detected Google Tag but no FDC
whatshot.in,TRUE,detected Google Tag but no FDC
huckleberrycare.com,TRUE,detected Google Tag but no FDC
scubaboard.com,TRUE,detected Google Tag but no FDC
geolsoc.org.uk,TRUE,detected Google Tag but no FDC
matequiz.com,TRUE,detected Google Tag but no FDC
toyota.co.jp,TRUE,detected Google Tag but no FDC
nl.go.kr,TRUE,detected Google Tag but no FDC
dwgfree.com,TRUE,detected Google Tag but no FDC
papik.pro,TRUE,detected Google Tag but no FDC
nest.com,TRUE,detected Google Tag but no FDC
agfc.com,TRUE,detected Google Tag but no FDC
practo.com,TRUE,detected Google Tag but no FDC
auctria.com,TRUE,detected Google Tag but no FDC
ninjarmm.com,FALSE,detected Google Tag but no FDC
ladbrokes.com,TRUE,detected Google Tag but no FDC
instinctmagazine.com,TRUE,detected Google Tag but no FDC
fragrantica.com,TRUE,detected Google Tag but no FDC
pixelplex.io,TRUE,detected Google Tag but no FDC
punch.co.jp,TRUE,detected Google Tag but no FDC
estadiodeportivo.com,TRUE,detected Google Tag but no FDC
zeitblueten.com,TRUE,detected Google Tag but no FDC
bikeforums.net,TRUE,detected Google Tag but no FDC
firearmsdepot.com,TRUE,detected Google Tag but no FDC
pagat.com,TRUE,detected Google Tag but no FDC
thenutritionwatchdog.com,TRUE,detected Google Tag but no FDC
sensodyne.in,TRUE,detected Google Tag but no FDC
mapsnow.co,TRUE,detected Google Tag but no FDC
juststarz.com,TRUE,detected Google Tag but no FDC
shiiyu.moe,TRUE,detected Google Tag but no FDC
omsystem.com,TRUE,detected Google Tag but no FDC
hugelol.com,TRUE,detected Google Tag but no FDC
wyndhamhotels.com,error loading,detected Google Tag but no FDC
hihi2.com,TRUE,detected Google Tag but no FDC
audiobookbay.is,error loading,detected Google Tag but no FDC
distanta.ro,error loading,detected Google Tag but no FDC
hi.co.kr,TRUE,detected Google Tag but no FDC
indiarace.com,TRUE,detected Google Tag but no FDC
unitjuggler.com,TRUE,detected Google Tag but no FDC
trinka.ai,TRUE,detected Google Tag but no FDC
brainly.com,TRUE,detected Google Tag but no FDC
demdaco.com,TRUE,detected Google Tag but no FDC
